city_development_index,training_hours,experience,last_new_job,target
0.7389192610,-0.5214745058,1.6116118941,-0.5881348089,1.0000000000
-0.4284097560,-0.3021255310,0.7247782631,1.8164934082,0.0000000000
-1.6605903850,0.4157438409,-0.7532777884,-1.1892918631,0.0000000000
-0.3230258864,-0.2024214516,-1.4923058142,-1.1892918631,1.0000000000
-0.5013678196,-1.0798173506,1.6116118941,1.2153363539,0.0000000000
-0.5256871741,-0.7607642964,0.1335558425,-0.5881348089,1.0000000000
0.7389192610,-0.7607642964,-0.7532777884,-0.5881348089,0.0000000000
-0.5419000771,-0.8804091917,0.4291670528,1.8164934082,1.0000000000
0.7389192610,-0.3220663469,-0.4576665781,-0.5881348089,1.0000000000
0.7389192610,1.2133764763,1.0203894734,1.8164934082,0.0000000000
-1.6605903850,-0.6012377693,-1.1966946039,-1.1892918631,1.0000000000
0.7389192610,0.9142642380,-0.7532777884,-0.5881348089,0.0000000000
0.6821741004,-0.7807051123,1.6116118941,0.6141792997,0.0000000000
-1.6605903850,-0.7607642964,-1.1966946039,-1.1892918631,0.0000000000
-1.6605903850,-0.7208826646,-0.7532777884,-1.1892918631,0.0000000000
0.7875579700,-0.8804091917,0.8725838683,1.8164934082,0.0000000000
0.7389192610,0.8743826063,-1.3445002090,-1.1892918631,0.0000000000
-1.6605903850,-1.0997581665,-1.1966946039,0.0130222454,0.0000000000
-1.6605903850,-0.7807051123,-0.4576665781,-1.1892918631,1.0000000000
-0.0149807292,1.3928438193,-0.9010833936,-0.5881348089,1.0000000000
0.1147224950,0.1166316026,0.1335558425,-0.5881348089,0.0000000000
0.7875579700,-0.2423030834,0.1335558425,0.0130222454,0.0000000000
-0.2014291138,-0.2821847151,-0.0142497626,-0.5881348089,0.0000000000
-0.4284097560,0.0568091549,-1.4923058142,-0.5881348089,0.0000000000
-1.6605903850,-0.9801132711,-0.7532777884,-0.5881348089,0.0000000000
0.2119999130,-0.8006459282,-0.9010833936,-1.1892918631,0.0000000000
-1.6605903850,1.7118968735,0.5769726580,-0.5881348089,1.0000000000
0.7389192610,0.1963948661,-0.7532777884,0.0130222454,0.0000000000
0.4714063613,-1.0798173506,0.1335558425,-0.5881348089,1.0000000000
-1.6605903850,0.1166316026,1.1681950786,0.0130222454,1.0000000000
0.7389192610,-0.4417112422,1.6116118941,0.6141792997,0.0000000000
0.7389192610,1.5723111623,1.3160006838,1.8164934082,0.0000000000
0.7389192610,-0.7607642964,-0.7532777884,-0.5881348089,0.0000000000
0.7389192610,0.3958030250,1.6116118941,1.8164934082,0.0000000000
0.6578547459,1.6520744258,0.2813614477,0.6141792997,0.0000000000
0.7389192610,2.4497070613,-0.0142497626,0.0130222454,0.0000000000
0.7875579700,1.7916601370,-1.3445002090,-0.5881348089,0.0000000000
0.7875579700,-0.4018296104,1.6116118941,1.2153363539,1.0000000000
0.7389192610,-0.2423030834,0.2813614477,1.2153363539,0.0000000000
0.4470870067,0.8743826063,-1.0488889987,-1.1892918631,0.0000000000
0.7875579700,-0.9601724553,0.8725838683,0.0130222454,0.0000000000
0.7713450670,-0.5214745058,-0.9010833936,0.0130222454,0.0000000000
-1.6605903850,0.9940275016,-0.6054721833,-0.5881348089,1.0000000000
-1.3201194217,0.9142642380,-0.1620553678,-1.1892918631,0.0000000000
-1.6605903850,-1.0997581665,-0.1620553678,0.6141792997,1.0000000000
-1.6605903850,-0.7208826646,-0.7532777884,-1.1892918631,1.0000000000
-1.6605903850,0.4955071044,-0.7532777884,-1.1892918631,1.0000000000
0.7389192610,-0.2024214516,1.3160006838,1.2153363539,1.0000000000
-2.1956161845,-0.8405275599,0.7247782631,1.8164934082,1.0000000000
0.7632386155,-0.8205867441,0.1335558425,-0.5881348089,0.0000000000
-2.1956161845,0.5952111839,-0.9010833936,-0.5881348089,1.0000000000
-1.3201194217,0.7946193427,-0.0142497626,0.0130222454,0.0000000000
-0.2824936289,-0.7208826646,-0.7532777884,1.8164934082,0.0000000000
0.7713450670,-1.0997581665,-1.0488889987,0.0130222454,0.0000000000
0.7875579700,-0.3818887946,-0.9010833936,-0.5881348089,0.0000000000
0.7713450670,-0.3420071628,1.6116118941,-0.5881348089,0.0000000000
-0.6067516891,-0.2024214516,-1.1966946039,0.0130222454,0.0000000000
0.7389192610,-0.8604683758,1.6116118941,0.0130222454,0.0000000000
-1.6605903850,-0.6012377693,-1.1966946039,-0.5881348089,1.0000000000
-0.5013678196,-0.7208826646,1.6116118941,1.8164934082,1.0000000000
0.2119999130,0.5553295521,-0.6054721833,-0.5881348089,0.0000000000
0.8929418396,-0.7408234805,-0.6054721833,0.6141792997,0.0000000000
-0.0149807292,-0.9402316394,0.4291670528,-0.5881348089,0.0000000000
0.4714063613,-0.2821847151,1.6116118941,1.8164934082,0.0000000000
-2.2604677965,0.7148560792,-1.0488889987,-0.5881348089,0.0000000000
0.2930644281,1.5922519782,-0.0142497626,0.0130222454,1.0000000000
0.2119999130,-0.9801132711,-0.9010833936,1.2153363539,0.0000000000
0.6578547459,-0.3021255310,0.7247782631,1.8164934082,0.0000000000
0.6578547459,-0.6810010329,0.5769726580,-0.5881348089,0.0000000000
-1.0607129735,2.4497070613,-1.1966946039,-1.1892918631,1.0000000000
-1.3201194217,-0.8006459282,1.6116118941,1.2153363539,0.0000000000
-1.6605903850,-0.8804091917,-1.4923058142,-1.1892918631,1.0000000000
-0.0149807292,-0.6610602170,-1.1966946039,-0.5881348089,0.0000000000
0.2119999130,-0.3220663469,-0.7532777884,-0.5881348089,0.0000000000
-2.2604677965,-1.0000540870,-1.4923058142,-1.1892918631,0.0000000000
0.7389192610,-0.9003500076,-0.7532777884,0.0130222454,0.0000000000
0.5200450703,0.0568091549,-0.7532777884,0.0130222454,0.0000000000
0.7389192610,-0.5414153216,-1.0488889987,-0.5881348089,0.0000000000
0.2119999130,-0.9601724553,-0.1620553678,0.6141792997,0.0000000000
0.7389192610,-1.1595806141,-1.1966946039,-0.5881348089,0.0000000000
0.7389192610,-1.0000540870,0.7247782631,1.8164934082,0.0000000000
0.7389192610,0.9142642380,1.6116118941,0.0130222454,0.0000000000
0.7389192610,1.4726070828,1.6116118941,-0.5881348089,0.0000000000
0.7389192610,-0.7009418487,-0.7532777884,-0.5881348089,0.0000000000
-0.2662807259,0.2362764979,-0.9010833936,-0.5881348089,0.0000000000
0.4470870067,0.4755662885,0.7247782631,-0.5881348089,0.0000000000
0.3011708796,0.4157438409,-1.4923058142,0.0130222454,0.0000000000
0.7389192610,0.2562173138,-0.9010833936,0.6141792997,0.0000000000
-1.0607129735,-0.4018296104,0.1335558425,0.0130222454,0.0000000000
0.7389192610,2.4497070613,-0.6054721833,-0.5881348089,0.0000000000
0.6821741004,1.5523703464,-0.9010833936,-0.5881348089,0.0000000000
0.6578547459,2.3898846136,-1.0488889987,-1.1892918631,0.0000000000
0.7389192610,-0.9801132711,-1.0488889987,-0.5881348089,1.0000000000
-1.1904161976,2.1904764547,-0.7532777884,0.0130222454,1.0000000000
0.7389192610,-0.2821847151,-0.0142497626,-0.5881348089,0.0000000000
-0.2176420168,-0.5812969534,-0.1620553678,-0.5881348089,0.0000000000
0.7389192610,1.5922519782,-1.1966946039,-0.5881348089,0.0000000000
-2.0253807028,-0.5613561375,-1.1966946039,-0.5881348089,0.0000000000
-0.2176420168,-0.9601724553,-0.6054721833,0.0130222454,1.0000000000
-2.2604677965,-0.7009418487,-0.6054721833,0.0130222454,1.0000000000
-2.2604677965,-0.7607642964,-0.3098609730,-0.5881348089,1.0000000000
0.3984482977,1.7517785053,1.6116118941,-0.5881348089,0.0000000000
0.7389192610,-0.8405275599,0.1335558425,1.8164934082,0.0000000000
0.7389192610,1.5523703464,-0.7532777884,-0.5881348089,0.0000000000
0.6578547459,-0.2024214516,0.2813614477,-0.5881348089,0.0000000000
0.8929418396,1.9511866641,1.6116118941,0.0130222454,0.0000000000
0.5524708763,-1.1795214300,-0.1620553678,0.0130222454,0.0000000000
-1.6605903850,-1.1994622459,-1.1966946039,0.0130222454,1.0000000000
0.6578547459,-0.6810010329,1.6116118941,1.8164934082,0.0000000000
-0.6067516891,-0.3220663469,1.6116118941,1.2153363539,0.0000000000
0.2119999130,2.4497070613,-0.3098609730,-0.5881348089,0.0000000000
0.7875579700,-0.5214745058,-0.0142497626,-0.5881348089,0.0000000000
0.9740063547,1.9511866641,-0.9010833936,-0.5881348089,1.0000000000
-1.6605903850,0.7746785268,-1.1966946039,0.0130222454,0.0000000000
0.7875579700,-0.3220663469,-0.6054721833,-0.5881348089,0.0000000000
0.7794515185,-0.8604683758,1.6116118941,1.8164934082,0.0000000000
